endpoint	dataset	graph	count
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aba-amb	7095
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/abd	10419
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aceso	1670
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/acgt-mo	13381
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/acvd_ontology	21112
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ad-drop	997
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adar	62672
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adcad	332
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adher_intcare_en	2424
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adher_intcare_sp	2638
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adicap	63509
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/admo	127673
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ado	42934
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/adw	2188
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aeo	3903
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aero	9820
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/afo	46166
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/afpo	18170
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/agro	81505
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/agrocymac	959
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/agromop	316
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ahol	4634
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ahso	519
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ai-rheum	5968
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ai	5582
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aio	5569
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aism	352921
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/allergidoc	3563
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/allergydetector	1224
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/altproton	1875
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/amino-acid	1374
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/amphx	9437
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ao	1177
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apacomputer	230
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apadisorders	1646
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apaeducluster	1020
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apaneurocluster	1004
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apaocuemploy	898
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apaonto	38873
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apastatistical	282
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apatandt	418
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apatreatment	962
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apo	7356
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apollo-sv	29015
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/apro	299
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/arcrc	888
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aro	155992
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/asdf	7095
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/asdpto	1722
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aspect	1463
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/assaynode	300
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/atc	69108
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/ato	73918
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/atol	56707
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/atom	767
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/aura	1091651
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bao-gpcr	9689
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bao	111832
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcgo	3016
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bci-o	6944
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bclion	115
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bco	7603
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcon	287
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcs7	245
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcs8	17192
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcsr-onto	1545
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bcteo	3789
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bctt	333
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bdo	45836
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/be	8937
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bero	11075906
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bfo	1268
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bhn	11814
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bho	6536
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bibliotek-o	2668
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bifo	470
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biodivthes	25425
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biolink	15272
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biomo	17588
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/biomodels	2986721
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bipom	5319
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bipon	45111
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/birnlex	43986
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/birthonto	68381
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bko	7310
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bmont	11332
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bms-lm	4549
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bmt	3439
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bno	425
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bof	3489
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bp-metadata	1214
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bp	1249
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bpt	249029
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brain-cof	994
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brct	11239
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bridg	52596
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/bro	3353
https://rdfportal.org/bioportal/sparql	bioportal	http://rdfportal.org/dataset/bioportal/brso	80
